,Bin,Symbol,High,Low,Open,Close,Marketcap
0,201801,USDT,1.069890022277832,0.9714030027389526,1.005724024388098,1.004170581217735,2267427080.38
1,201802,USDT,1.0481799840927124,0.9251440167427064,1.0006540502820696,1.001759605748313,2259066946.3
2,201803,USDT,1.0241199731826782,0.9796329736709596,0.9994391222153941,1.0004211568063306,2307953794.92
3,201804,USDT,1.0205899477005005,0.9807779788970948,0.999433437983195,0.9989802718162537,2427171947.9
4,201805,USDT,1.0193400382995603,0.9829049706459044,1.0005738812108194,1.0003583219743544,2517219519.59
5,201806,USDT,1.0263700485229492,0.9717360138893129,1.0012721439202628,1.0013284703095755,2716155122.98
6,201807,USDT,1.0141799449920654,0.979781985282898,1.0002604554053276,1.0003829399752464,2723762187.35
7,201808,USDT,1.02623,0.978541,1.0010416129032258,1.001008387096774,2824115833.86
8,201809,USDT,1.03331,0.96457,1.0009082666666667,1.0013343333333333,2835998470.36
9,201810,USDT,1.01755,0.925284,0.9913815161290322,0.9905693225806451,2805694872.39
10,201811,USDT,1.01788,0.945723,0.9876649033000435,0.9882693564248,1853863586.47261
11,201812,USDT,1.04869514887,0.982076418369,1.0110770341793225,1.0116168030404515,1916646100.40582
12,201901,USDT,1.04818099666,1.00412731433,1.0159472204241935,1.0157195286967742,2050721693.05414
13,201902,USDT,1.04911578059,0.98676871294,1.0049328803108928,1.0050284229750714,2051885482.37268
14,201903,USDT,1.05342106898,0.993253797483,1.0089969141801935,1.0086795169785483,2052994600.46667
15,201904,USDT,1.03820648272,0.974206415997,1.0040214771972,1.0041550243878665,2851502734.4723
16,201905,USDT,1.03033010661,0.976609788812,1.0020025062449678,1.0018423107596128,3141419356.50421
17,201906,USDT,1.0212506994,0.970494081018,1.0012620335192333,1.0007686498370334,3600766045.95612
18,201907,USDT,1.02122111009,0.976974751366,1.0015204150581614,1.001893636346258,4047279802.58611
19,201908,USDT,1.02061843821,0.988811410351,1.0009977491357742,1.0010603001621612,4080179145.21392
20,201909,USDT,1.05720281171,0.99367975252,1.0036124936616666,1.0036269916325,4150539049.89976
21,201910,USDT,1.03523919922,0.969353450627,1.0049068666293548,1.0051189452967741,4158787987.10516
22,201911,USDT,1.03066681628,0.981391923235,1.0050739722493334,1.0051485492473333,4180011937.39273
23,201912,USDT,1.04416098199,0.97926212677,1.0053512693486453,1.0050291071214192,4157901175.98962
24,202001,USDT,1.02591156088,0.986515032833,1.0020091235631936,1.0019583219244192,4656155507.28122
25,202002,USDT,1.03095875988,0.989397800425,1.0002663128558964,1.0003774332196207,4671931513.54085
26,202003,USDT,1.0848018246,0.899489973338,1.000659292576,1.0010631590100967,6184759499.92695
27,202004,USDT,1.02463664587,0.97421483644,1.0026001643673,1.0025934127631333,6412993320.44701
28,202005,USDT,1.06048507001,0.971167465661,1.0022817857548387,1.0023365590870645,8846790751.10224
29,202006,USDT,1.03530913387,0.985651299042,1.0010966616973334,1.0010841348150668,9238040026.24735
30,202007,USDT,1.02026278529,0.990576298162,1.000288194848516,1.0004706996218065,10023620101.9539
31,202008,USDT,1.05637306014,0.991539287245,1.0025348812831614,1.0025783657478387,13368167895.7806
32,202009,USDT,1.02908204718,0.990325920645,1.0018490758013667,1.0017802485856666,15522531377.895573
33,202010,USDT,1.00331119,0.99974145,1.0009123748387097,1.0008728109677418,16657642843.10056
34,202011,USDT,1.00240844,0.99802083,1.0005472906666666,1.0005538106666667,19134597303.72461
35,202012,USDT,1.00217786,0.99648893,1.0000785787096773,1.0000862583870969,20939440704.71454
36,202101,USDT,1.00322349,0.99395274,1.0007168603225807,1.0007347680645162,26451988954.48
37,202102,USDT,1.00314326,0.99741253,1.0006338410714286,1.0006775757142858,35051423319.75
38,202103,USDT,1.00410427,0.99870041,1.000716630967742,1.0006595938709677,40723981486.82
39,202104,USDT,1.02804546,0.99740406,1.001052436,1.0010281386666666,51010197189.62
40,202105,USDT,1.00199988,0.99862781,1.0004840032258064,1.000527291935484,61816254265.85
