ID ,Names,Symbols
1,Monero,XMR
2,Tether,USDT
3,Bitcoin,BTC
4,Dogecoin,DOGE
5,BinanceCoin,BNB
6,Ethereum,ETH
7,Dax Composite Index,GDAXI
8,S&P/TSX Composite Index,GSPTSE
9,Hang Seng Index,HSI
10,NASDAQ Composite Index,IXIC
11,Johannesburg Stock Exchange Index,J203
12,Korean Composite Stock Price Index,KS11
13,Euronext 100 Index,N100
14,Nikkei Index,N225
15,National Stock Exchange of India Index,NSEI
16,NYSE Composite,NYA
17,Shanghai Stock Exchange Composite Index,oneSS
18,Swiss Market,SSMI
19,Shenzhen Composite Index,SZ
20,Taiwan Weighted Index,TWII
