Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,3587.032,3534.195,3447.459,3457.017,936215347.302,000001.SS,Shanghai Stock Exchange Composite Index
201802,3495.093,3424.419,3299.998,3296.35,980723100.851,000001.SS,Shanghai Stock Exchange Composite Index
201803,3333.875,3313.555,3242.814,3247.754,918482562.5,000001.SS,Shanghai Stock Exchange Composite Index
201804,3220.845,3191.587,3128.569,3124.265,572344151.347,000001.SS,Shanghai Stock Exchange Composite Index
201805,3219.74,3203.336,3145.073,3147.132,529647228.355,000001.SS,Shanghai Stock Exchange Composite Index
201806,3128.715,3105.578,2982.514,2978.063,721481699.293,000001.SS,Shanghai Stock Exchange Composite Index
201807,2915.297,2894.039,2815.662,2821.059,669352218.522,000001.SS,Shanghai Stock Exchange Composite Index
201808,2897.4,2823.929,2751.051,2748.159,504727062.928,000001.SS,Shanghai Stock Exchange Composite Index
201809,2827.341,2791.836,2715.989,2723.082,446719888.112,000001.SS,Shanghai Stock Exchange Composite Index
201810,2771.938,2711.197,2601.724,2601.957,587373659.657,000001.SS,Shanghai Stock Exchange Composite Index
201811,2703.512,2674.178,2630.935,2630.996,673985532.376,000001.SS,Shanghai Stock Exchange Composite Index
201812,2666.078,2644.896,2576.51,2573.703,553211160.308,000001.SS,Shanghai Stock Exchange Composite Index
201901,2630.318,2599.058,2555.664,2558.433,504758046.268,000001.SS,Shanghai Stock Exchange Composite Index
201902,2997.488,2938.623,2759.672,2779.467,1695379233.727,000001.SS,Shanghai Stock Exchange Composite Index
201903,3129.94,3086.85,3039.688,3048.242,1827258937.556,000001.SS,Shanghai Stock Exchange Composite Index
201904,3288.453,3241.826,3210.652,3208.212,1659024478.465,000001.SS,Shanghai Stock Exchange Composite Index
201905,2986.54,2929.065,2895.62,2898.803,976598592.753,000001.SS,Shanghai Stock Exchange Composite Index
201906,3012.826,2994.422,2922.592,2923.599,876732345.048,000001.SS,Shanghai Stock Exchange Composite Index
201907,3048.484,3033.781,2950.249,2947.846,741696129.707,000001.SS,Shanghai Stock Exchange Composite Index
201908,2927.34,2901.75,2844.336,2847.064,656309647.73,000001.SS,Shanghai Stock Exchange Composite Index
201909,3042.93,3020.05,2981.627,2978.384,929310801.233,000001.SS,Shanghai Stock Exchange Composite Index
201910,3026.38,2989.81,2954.995,2954.833,631302843.594,000001.SS,Shanghai Stock Exchange Composite Index
201911,3008.31,2969.72,2926.117,2923.773,541194979.614,000001.SS,Shanghai Stock Exchange Composite Index
201912,3051.677,3030.512,2954.663,2962.064,894141361.586,000001.SS,Shanghai Stock Exchange Composite Index
202001,3127.169,3105.605,3082.987,3078.655,977553012.207,000001.SS,Shanghai Stock Exchange Composite Index
202002,3058.898,3020.141,2907.666,2927.513,1434623138.081,000001.SS,Shanghai Stock Exchange Composite Index
202003,3074.257,3029.463,2852.835,2852.063,1369274103.432,000001.SS,Shanghai Stock Exchange Composite Index
202004,2865.59,2835.896,2809.117,2814.113,774282441.778,000001.SS,Shanghai Stock Exchange Composite Index
202005,2914.28,2887.577,2867.968,2867.085,727987151.244,000001.SS,Shanghai Stock Exchange Composite Index
202006,2990.825,2971.224,2934.225,2940.738,801242004.373,000001.SS,Shanghai Stock Exchange Composite Index
202007,3458.791,3393.638,3278.27,3288.827,2275192730.325,000001.SS,Shanghai Stock Exchange Composite Index
202008,3456.721,3432.64,3371.161,3374.214,1528907674.858,000001.SS,Shanghai Stock Exchange Composite Index
202009,3425.629,3381.711,3295.02,3288.863,1204108560.459,000001.SS,Shanghai Stock Exchange Composite Index
202010,3371.09,3334.499,3301.156,3301.74,875134986.845,000001.SS,Shanghai Stock Exchange Composite Index
202011,3456.74,3396.244,3342.221,3345.487,1330844896.15,000001.SS,Shanghai Stock Exchange Composite Index
202012,3474.918,3435.871,3395.751,3399.72,1166529962.193,000001.SS,Shanghai Stock Exchange Composite Index
202101,3637.1,3591.02,3562.261,3566.428,1483936839.984,000001.SS,Shanghai Stock Exchange Composite Index
202102,3731.687,3663.664,3576.41,3576.935,1824048611.466,000001.SS,Shanghai Stock Exchange Composite Index
202103,3577.62,3511.989,3444.34,3442.978,1458595721.701,000001.SS,Shanghai Stock Exchange Composite Index
202104,3497.12,3471.76,3451.674,3453.505,1160344454.821,000001.SS,Shanghai Stock Exchange Composite Index
202105,3626.36,3585.37,3496.487,3508.936,1356983952.039,000001.SS,Shanghai Stock Exchange Composite Index
